fiscal_year,ticker,company,sector,revenue,gross_profit,operating_income,net_income,rd_expense,interest_expense,total_assets,total_equity,long_term_debt,current_assets,current_liabilities,cash,operating_cashflow,capex,shares_outstanding,ebitda,ebitda_is_estimated,gross_margin,operating_margin,net_margin,ebitda_margin,rd_intensity,roe,roa,roic,debt_to_equity,debt_to_assets,current_ratio,interest_coverage,fcf,fcf_margin,cfo_to_net_income,capex_intensity,eps,fcf_per_share,macro_regime
2020,DELL,Dell,Consumer_Hardware,6379000000.0,706000000.0,370000000.0,226000000.0,7000000.0,90000000.0,4711000000.0,1417000000.0,1921000000.0,1430000000.0,1128000000.0,188000000.0,458000000.0,21000000.0,58000000.0,370000000.0,True,0.11067565449129958,0.05800282175889638,0.03542875058786644,0.05800282175889638,0.0010973506819250665,0.15949188426252647,0.0479728295478667,0.11084481725584182,1.355681016231475,0.4077690511568669,1.2677304964539007,4.111111111111111,437000000.0,0.06850603542875058,2.0265486725663715,0.0032920520457751998,3.896551724137931,7.5344827586206895,COVID Shock
2021,DELL,Dell,Consumer_Hardware,7056000000.0,792000000.0,390000000.0,209000000.0,6000000.0,122000000.0,5723000000.0,1542000000.0,2515000000.0,1289000000.0,1275000000.0,171000000.0,755000000.0,46000000.0,58000000.0,390000000.0,True,0.11224489795918367,0.055272108843537414,0.02962018140589569,0.055272108843537414,0.0008503401360544217,0.13553826199740596,0.0365193080552158,0.0961301454276559,1.6309987029831388,0.43945483138214225,1.0109803921568628,3.19672131147541,709000000.0,0.10048185941043083,3.61244019138756,0.006519274376417234,3.603448275862069,12.224137931034482,COVID Rebound
2022,DELL,Dell,Consumer_Hardware,7394000000.0,859000000.0,462000000.0,277000000.0,4000000.0,105000000.0,5746000000.0,1619000000.0,2518000000.0,1263000000.0,1352000000.0,106000000.0,518000000.0,36000000.0,56000000.0,462000000.0,True,0.1161752772518258,0.062483094400865566,0.03746280768190425,0.062483094400865566,0.0005409791723018664,0.17109326744904263,0.04820744865993735,0.1116751269035533,1.5552810376775787,0.4382178907065785,0.9341715976331361,4.4,482000000.0,0.0651879902623749,1.8700361010830324,0.004868812550716798,4.946428571428571,8.607142857142858,Inflation & Rate Hikes
2023,DELL,Dell,Consumer_Hardware,7704000000.0,888000000.0,501000000.0,300000000.0,1000000.0,120000000.0,5543000000.0,1694000000.0,2374000000.0,1197000000.0,1126000000.0,109000000.0,532000000.0,25000000.0,54000000.0,501000000.0,True,0.11526479750778816,0.06503115264797507,0.03894080996884735,0.06503115264797507,0.00012980269989615784,0.1770956316410862,0.054122316435143425,0.12315634218289086,1.4014167650531286,0.42828793072343496,1.0630550621669628,4.175,507000000.0,0.06580996884735202,1.7733333333333334,0.003245067497403946,5.555555555555555,9.38888888888889,Inflation & Rate Hikes
2024,DELL,Dell,Consumer_Hardware,7444000000.0,872000000.0,741000000.0,477000000.0,4000000.0,125000000.0,5314000000.0,1785000000.0,2099000000.0,1131000000.0,1158000000.0,94000000.0,396000000.0,27000000.0,52000000.0,741000000.0,True,0.11714132186996239,0.09954325631380978,0.06407845244492208,0.09954325631380978,0.0005373455131649651,0.2672268907563025,0.08976289047798269,0.1907826982492276,1.1759103641456583,0.39499435453519005,0.9766839378238342,5.928,369000000.0,0.04957012358946803,0.8301886792452831,0.0036270822138635144,9.173076923076923,7.096153846153846,Normalization
2006,HPQ,HP Inc,Consumer_Hardware,,,,,,,,38144000000.0,,,,16400000000.0,,,,,True,,,,,,,,,,,,,,,,,,,Pre-Crisis Buildup
2007,HPQ,HP Inc,Consumer_Hardware,84229000000.0,20794000000.0,8719000000.0,7264000000.0,3611000000.0,,,38569000000.0,,,,11293000000.0,9615000000.0,3040000000.0,2716000000.0,8719000000.0,True,0.24687459188640493,0.10351541630554797,0.0862410808628857,0.10351541630554797,0.04287122012608484,0.18833778423085898,,0.2260623817055148,,,,,6575000000.0,0.07806100036804427,1.3236508810572687,0.036092082299445556,2.674521354933726,2.420839469808542,Pre-Crisis Buildup
2008,HPQ,HP Inc,Consumer_Hardware,91697000000.0,22355000000.0,10473000000.0,8329000000.0,3543000000.0,467000000.0,113331000000.0,39179000000.0,7676000000.0,51728000000.0,52939000000.0,10153000000.0,14591000000.0,2990000000.0,2415303000.0,10473000000.0,True,0.24379205426567935,0.11421311493287675,0.0908317611263182,0.11421311493287675,0.03863812338462545,0.21258837642614667,0.0734926895553732,0.22351936826379254,0.1959212843615202,0.06773080622248105,0.9771246151230661,22.426124197002142,11601000000.0,0.12651449883856614,1.7518309520950894,0.0326073917358256,3.448428623655086,4.803124080084362,Financial Crisis
2009,HPQ,HP Inc,Consumer_Hardware,74051000000.0,17548000000.0,10136000000.0,7660000000.0,2819000000.0,597000000.0,114799000000.0,40517000000.0,13980000000.0,52539000000.0,43003000000.0,13279000000.0,13379000000.0,3695000000.0,2365000000.0,10136000000.0,True,0.23697181672090856,0.13687863769564218,0.10344222225223157,0.13687863769564218,0.03806835829360846,0.1890564454426537,0.06672531990696783,0.18599188946180523,0.34504035343189277,0.12177806426885252,1.2217519707927353,16.97822445561139,9684000000.0,0.1307747363303669,1.7466057441253264,0.049898043240469404,3.2389006342494713,4.094714587737844,Financial Crisis
2010,HPQ,HP Inc,Consumer_Hardware,84799000000.0,19735000000.0,11479000000.0,8761000000.0,2959000000.0,417000000.0,124503000000.0,40449000000.0,16777000000.0,54184000000.0,49403000000.0,10929000000.0,11922000000.0,4133000000.0,2204000000.0,11479000000.0,True,0.23272680102359697,0.1353671623486126,0.1033148975813394,0.1353671623486126,0.03489427941367233,0.21659373532102152,0.07036778230243448,0.20059064061790097,0.41476921555539076,0.1347517730496454,1.0967754994635954,27.52757793764988,7789000000.0,0.09185249826059269,1.3608035612373017,0.04873878229696105,3.9750453720508165,3.534029038112523,Post-Crisis Recovery
2011,HPQ,HP Inc,Consumer_Hardware,84757000000.0,19590000000.0,9677000000.0,7074000000.0,3254000000.0,522000000.0,129517000000.0,38625000000.0,26339000000.0,51021000000.0,50442000000.0,8043000000.0,12639000000.0,4539000000.0,1991000000.0,9677000000.0,True,0.23113135198272708,0.11417346059912456,0.08346213292117466,0.11417346059912456,0.03839210920631924,0.18314563106796117,0.05461831265393732,0.14895942368080783,0.681915857605178,0.20336326505400834,1.011478529796598,18.538314176245212,8100000000.0,0.09556732777233738,1.7866836301950806,0.053553098859091285,3.5529884480160723,4.068307383224511,Post-Crisis Recovery
2012,HPQ,HP Inc,Consumer_Hardware,77887000000.0,18419000000.0,-11057000000.0,-12650000000.0,3399000000.0,831000000.0,108768000000.0,22436000000.0,27132000000.0,50637000000.0,46666000000.0,11301000000.0,10571000000.0,3706000000.0,1963000000.0,-11057000000.0,True,0.23648362371127402,-0.1419620732599792,-0.16241478038697088,-0.1419620732599792,0.04364014533876,-0.5638259939383135,-0.11630258899676375,-0.22306730148482892,1.2093064717418434,0.24944836716681376,1.0850940727724683,-13.305655836341757,6865000000.0,0.08814051125348261,-0.8356521739130435,0.047581753052499134,-6.444218033622007,3.497198166072338,Post-Crisis Recovery
2013,HPQ,HP Inc,Consumer_Hardware,72398000000.0,16766000000.0,7131000000.0,5113000000.0,3135000000.0,738000000.0,105676000000.0,27269000000.0,16608000000.0,50364000000.0,45521000000.0,12163000000.0,11608000000.0,3199000000.0,1908000000.0,7131000000.0,True,0.2315809829000801,0.09849719605513964,0.07062349788668196,0.09849719605513964,0.043302301168540565,0.18750229197990392,0.04838373897573716,0.1625225060965882,0.6090432359089075,0.15715961997047578,1.1063904571516443,9.66260162601626,8409000000.0,0.11614961739274565,2.2702914140426365,0.04418630348904666,2.679769392033543,4.4072327044025155,Post-Crisis Recovery
2014,HPQ,HP Inc,Consumer_Hardware,73726000000.0,28295000000.0,4256000000.0,5013000000.0,1298000000.0,621000000.0,103206000000.0,26731000000.0,16039000000.0,50145000000.0,43735000000.0,15133000000.0,12333000000.0,3853000000.0,1839000000.0,4256000000.0,True,0.38378590999104795,0.05772726039660364,0.06799500854515368,0.05772726039660364,0.017605729322084474,0.1875350716396693,0.04857275739782571,0.09950900163666121,0.6000149638995922,0.15540763133926322,1.1465645364124843,6.853462157809984,8480000000.0,0.11502048124135311,2.460203470975464,0.05226107479044028,2.7259380097879284,4.611201740076129,Low Rate Bull Market
2015,HPQ,HP Inc,Consumer_Hardware,69032000000.0,27508000000.0,3920000000.0,4554000000.0,1191000000.0,567000000.0,106882000000.0,27768000000.0,6677000000.0,51787000000.0,42191000000.0,17433000000.0,6490000000.0,3603000000.0,1804000000.0,3920000000.0,True,0.3984818634836018,0.05678525901031406,0.06596940549310465,0.05678525901031406,0.01725286823502144,0.16400172860847018,0.04260773563368949,0.11380461605457977,0.2404566407375396,0.06247076214891188,1.2274418714891802,6.91358024691358,2887000000.0,0.04182118437825936,1.4251207729468598,0.052193185768918765,2.524390243902439,1.6003325942350333,Low Rate Bull Market
2016,HPQ,HP Inc,Consumer_Hardware,48238000000.0,8998000000.0,3549000000.0,2496000000.0,1209000000.0,273000000.0,29010000000.0,-3889000000.0,6758000000.0,18468000000.0,18808000000.0,6288000000.0,3252000000.0,433000000.0,1712000000.0,3549000000.0,True,0.18653343836809155,0.07357270201915503,0.05174343878270243,0.07357270201915503,0.02506322816037149,-0.6418102339933145,0.0860392967942089,1.2370163820146391,-1.737721779377732,0.23295415374008963,0.9819225861335602,13.0,2819000000.0,0.05843940461876529,1.3028846153846154,0.008976325718313362,1.4579439252336448,1.6466121495327102,Low Rate Bull Market
2017,HPQ,HP Inc,Consumer_Hardware,52056000000.0,9578000000.0,3368000000.0,2526000000.0,1190000000.0,309000000.0,32913000000.0,-3408000000.0,6747000000.0,22318000000.0,22412000000.0,6997000000.0,3677000000.0,402000000.0,1650000000.0,3368000000.0,True,0.18399416013523898,0.06469955432611034,0.04852466574458276,0.06469955432611034,0.022859996926386968,-0.7411971830985915,0.07674778962719898,1.0086852351003295,-1.9797535211267605,0.20499498678333788,0.9958058183116187,10.89967637540453,3275000000.0,0.06291301675119103,1.455661124307205,0.0077224527431996315,1.530909090909091,1.9848484848484849,Low Rate Bull Market
2018,HPQ,HP Inc,Consumer_Hardware,58472000000.0,10669000000.0,3831000000.0,5327000000.0,1404000000.0,312000000.0,34622000000.0,-639000000.0,4524000000.0,21387000000.0,25131000000.0,5166000000.0,4528000000.0,546000000.0,1560000000.0,3831000000.0,True,0.18246340128608565,0.06551853878779587,0.09110343412231496,0.06551853878779587,0.024011492680257217,-5.0,0.15386170642943792,0.9861003861003861,-7.07981220657277,0.13066836115764544,0.8510206517846485,12.278846153846153,3982000000.0,0.06810097140511698,0.8500093861460485,0.009337802708988917,3.4147435897435896,2.5525641025641024,Low Rate Bull Market
2019,HPQ,HP Inc,Consumer_Hardware,58756000000.0,11170000000.0,3877000000.0,3152000000.0,1499000000.0,242000000.0,33467000000.0,-1193000000.0,4780000000.0,20177000000.0,25293000000.0,4537000000.0,4654000000.0,671000000.0,1458000000.0,3877000000.0,True,0.19010824426441555,0.06598475049356661,0.053645585131731226,0.06598475049356661,0.025512288106746547,-2.642078792958927,0.09418232886126632,1.0808475048787287,-4.006705783738474,0.14282726267666657,0.7977305973984897,16.020661157024794,3983000000.0,0.0677888215671591,1.476522842639594,0.011420110286609027,2.1618655692729765,2.731824417009602,Low Rate Bull Market
2020,HPQ,HP Inc,Consumer_Hardware,56639000000.0,10437000000.0,3462000000.0,2844000000.0,1478000000.0,239000000.0,34681000000.0,-2275000000.0,6261000000.0,20648000000.0,26220000000.0,4864000000.0,4316000000.0,580000000.0,1304000000.0,3462000000.0,True,0.18427232119211145,0.06112396052190187,0.05021275093133706,0.06112396052190187,0.026095093486820035,-1.2501098901098902,0.08200455580865604,0.8685398896136478,-2.7520879120879123,0.18053112655344425,0.787490465293669,14.485355648535565,3736000000.0,0.06596161655396458,1.5175808720112518,0.010240293790497713,2.1809815950920246,2.8650306748466257,COVID Shock
2021,HPQ,HP Inc,Consumer_Hardware,63460000000.0,13407000000.0,5359000000.0,6541000000.0,1848000000.0,254000000.0,38610000000.0,-1644000000.0,7573000000.0,22170000000.0,29096000000.0,4299000000.0,6409000000.0,582000000.0,1092000000.0,5359000000.0,True,0.21126693980460132,0.08444689568231957,0.10307280176489127,0.08444689568231957,0.029120705956508036,-3.9787104622871046,0.1694120694120694,0.9038623713948389,-4.606447688564477,0.19614089614089614,0.7619604069287874,21.098425196850393,5827000000.0,0.09182161991805862,0.9798195994496255,0.00917113142136779,5.98992673992674,5.336080586080586,COVID Rebound
2022,HPQ,HP Inc,Consumer_Hardware,62910000000.0,12263000000.0,4559000000.0,3132000000.0,1653000000.0,359000000.0,38494000000.0,-3025000000.0,11190000000.0,19736000000.0,26189000000.0,3145000000.0,4463000000.0,765000000.0,980000000.0,4559000000.0,True,0.19492926402797647,0.07246860594500079,0.04978540772532189,0.07246860594500079,0.026275631855030998,-1.0353719008264464,0.08136332935002857,0.5583588487446418,-3.6991735537190085,0.2906946537122668,0.7535988392073008,12.699164345403899,3698000000.0,0.05878238753775235,1.4249680715197957,0.012160228898426323,3.195918367346939,3.773469387755102,Inflation & Rate Hikes
2023,HPQ,HP Inc,Consumer_Hardware,53718000000.0,11508000000.0,3456000000.0,3263000000.0,1578000000.0,548000000.0,37004000000.0,-1069000000.0,9612000000.0,17977000000.0,24488000000.0,3107000000.0,3571000000.0,593000000.0,989000000.0,3456000000.0,True,0.2142298670836591,0.06433597676756395,0.060743140102014224,0.06433597676756395,0.029375628281023122,-3.0523854069223573,0.08817965625337801,0.4045417300714035,-8.99158091674462,0.2597557020862609,0.7341146684090166,6.306569343065694,2978000000.0,0.0554376559067724,1.0943916641127795,0.01103913027290666,3.2992922143579375,3.0111223458038423,Inflation & Rate Hikes
2024,HPQ,HP Inc,Consumer_Hardware,53559000000.0,11818000000.0,3818000000.0,2775000000.0,1640000000.0,452000000.0,39909000000.0,-1323000000.0,9748000000.0,20760000000.0,28687000000.0,3238000000.0,3749000000.0,592000000.0,939000000.0,3818000000.0,True,0.2206538583618066,0.07128587165555743,0.05181202038873019,0.07128587165555743,0.030620437274781084,-2.0975056689342404,0.06953318800270615,0.45317507418397623,-7.368102796674226,0.24425568167581246,0.7236727437515251,8.446902654867257,3157000000.0,0.058944341753953584,1.350990990990991,0.01105323101626244,2.9552715654952078,3.362087326943557,Normalization
2007,COST,Costco,Consumer_Retail,,,,,,,,8687000000.0,,,,2780000000.0,,,,,True,,,,,,,,,,,,,,,,,,,Pre-Crisis Buildup
2008,COST,Costco,Consumer_Retail,70977000000.0,7474000000.0,1969000000.0,1283000000.0,,103000000.0,20682000000.0,9274000000.0,,,,2619000000.0,2206000000.0,1599000000.0,444240000.0,1969000000.0,True,0.10530171745776801,0.027741381010749962,0.018076278230976232,0.027741381010749962,,0.13834375673927107,0.062034619475872736,0.21231399611817986,,,,19.116504854368934,607000000.0,0.00855206616227792,1.7194076383476227,0.022528424700959466,2.888078516117414,1.3663785341256978,Financial Crisis
2009,COST,Costco,Consumer_Retail,69889000000.0,7554000000.0,1777000000.0,1086000000.0,,108000000.0,21979000000.0,10024000000.0,2210000000.0,10337000000.0,9281000000.0,3157000000.0,2092000000.0,1250000000.0,435974000.0,1777000000.0,True,0.10808567871911173,0.02542603270901,0.015538926011246405,0.02542603270901,,0.10833998403830807,0.04941080121934574,0.14525094000326957,0.22047086991221068,0.10055052550161518,1.1137808425816185,16.453703703703702,842000000.0,0.01204767559987981,1.9263351749539595,0.017885504156591167,2.490974232408355,1.9313078302834572,Financial Crisis
2010,COST,Costco,Consumer_Retail,76255000000.0,8260000000.0,2077000000.0,1303000000.0,,111000000.0,23815000000.0,10829000000.0,2141000000.0,11708000000.0,10063000000.0,3214000000.0,2780000000.0,1055000000.0,433510000.0,2077000000.0,True,0.10832076585141957,0.027237558192905385,0.017087404104648877,0.027237558192905385,,0.12032505309816234,0.0547134159143397,0.16013878180416347,0.19770985317203804,0.08990132269577997,1.1634701381297823,18.71171171171171,1725000000.0,0.02262146744475772,2.133537989255564,0.013835158350272114,3.005697677100874,3.9791469631611727,Post-Crisis Recovery
2011,COST,Costco,Consumer_Retail,87048000000.0,9309000000.0,2439000000.0,1462000000.0,,116000000.0,26761000000.0,12002000000.0,2153000000.0,13706000000.0,12050000000.0,4009000000.0,3198000000.0,1290000000.0,434266000.0,2439000000.0,True,0.10694099807003032,0.028019023986765923,0.016795331311460344,0.028019023986765923,,0.12181303116147309,0.05463174021897538,0.17230660543977394,0.1793867688718547,0.08045289787377154,1.1374273858921162,21.025862068965516,1908000000.0,0.021918941273779982,2.1874145006839947,0.014819409980700303,3.366600194350928,4.393620499877955,Post-Crisis Recovery
2012,COST,Costco,Consumer_Retail,97062000000.0,10239000000.0,2759000000.0,1709000000.0,,95000000.0,27140000000.0,12361000000.0,1382000000.0,13526000000.0,12260000000.0,3528000000.0,3057000000.0,1480000000.0,432350000.0,2759000000.0,True,0.10548927489645793,0.02842513032906802,0.01760730254888628,0.02842513032906802,,0.13825742253862955,0.06296978629329403,0.20075674889034417,0.11180325216406439,0.05092114959469418,1.1032626427406198,29.042105263157893,1577000000.0,0.016247347056520575,1.788765359859567,0.015247985823494261,3.952816005551058,3.647507806175552,Post-Crisis Recovery
2013,COST,Costco,Consumer_Retail,102870000000.0,10922000000.0,3053000000.0,2039000000.0,,99000000.0,30283000000.0,10833000000.0,4998000000.0,15840000000.0,13257000000.0,4644000000.0,3437000000.0,2083000000.0,436839000.0,3053000000.0,True,0.10617283950617284,0.029678234665111304,0.019821133469427432,0.029678234665111304,,0.18822117603618574,0.06733150612554899,0.19284947255385004,0.4613680420936029,0.16504309348479346,1.1948404616429056,30.838383838383837,1354000000.0,0.013162243608437834,1.68563021088769,0.020248857781666182,4.667623540938424,3.099540105164603,Post-Crisis Recovery
2014,COST,Costco,Consumer_Retail,110212000000.0,11754000000.0,3220000000.0,2058000000.0,,113000000.0,32662000000.0,12303000000.0,5093000000.0,17588000000.0,14412000000.0,5738000000.0,3984000000.0,1993000000.0,437683000.0,3220000000.0,True,0.10664900373824991,0.02921641926468987,0.01867310274743222,0.02921641926468987,,0.1672762740794928,0.06300900128589798,0.18510002299379166,0.41396407380313743,0.15593043904231216,1.2203719122953094,28.495575221238937,1991000000.0,0.018065183464595506,1.935860058309038,0.01808333030885929,4.7020332066815484,4.5489543802249575,Low Rate Bull Market
2015,COST,Costco,Consumer_Retail,113666000000.0,12601000000.0,3624000000.0,2377000000.0,,124000000.0,33017000000.0,10617000000.0,6135000000.0,16779000000.0,16539000000.0,4801000000.0,4285000000.0,2393000000.0,437952000.0,3624000000.0,True,0.11085988774127707,0.03188288494360671,0.020912146112293913,0.03188288494360671,,0.22388622021286617,0.07199321561619772,0.2163323782234957,0.5778468493924838,0.1858133688705818,1.0145111554507527,29.225806451612904,1892000000.0,0.016645258916474583,1.802692469499369,0.02105290940122816,5.427535437673535,4.320108139704808,Low Rate Bull Market
2016,COST,Costco,Consumer_Retail,118719000000.0,94250000000.0,3672000000.0,2350000000.0,,133000000.0,33163000000.0,12079000000.0,5161000000.0,15218000000.0,15575000000.0,3379000000.0,3292000000.0,2649000000.0,437524000.0,3672000000.0,True,0.7938914579806097,0.030930179667955426,0.019794641127367986,0.030930179667955426,,0.19455252918287938,0.07086210535838133,0.21299303944315545,0.42727046940971936,0.15562524500196,0.9770786516853932,27.60902255639098,643000000.0,0.005416150742509624,1.4008510638297873,0.02231319333889268,5.371133926367468,1.4696336658103326,Low Rate Bull Market
2017,COST,Costco,Consumer_Retail,129025000000.0,103098000000.0,4111000000.0,2679000000.0,,134000000.0,36347000000.0,10778000000.0,6659000000.0,17317000000.0,17495000000.0,4546000000.0,6726000000.0,2502000000.0,437204000.0,4111000000.0,True,0.7990544468126332,0.031862042239875994,0.020763417942259253,0.031862042239875994,,0.24856188532195211,0.07370622059592263,0.23576303263176004,0.6178326220077937,0.18320631688997716,0.9898256644755644,30.67910447761194,4224000000.0,0.032737841503584574,2.5106382978723403,0.019391590776981205,6.127574313135287,9.661393765839287,Low Rate Bull Market
2018,COST,Costco,Consumer_Retail,141576000000.0,18424000000.0,4480000000.0,3134000000.0,,159000000.0,40830000000.0,12799000000.0,6613000000.0,20289000000.0,19926000000.0,6055000000.0,5774000000.0,2969000000.0,438189000.0,4480000000.0,True,0.13013505113861107,0.03164378143188111,0.022136520314177545,0.03164378143188111,,0.24486287991249317,0.07675728630908646,0.2307850813929528,0.5166809907023986,0.16196424197893705,1.0182174043962662,28.17610062893082,2805000000.0,0.019812680115273776,1.8423739629865985,0.020971068542690853,7.15216493339632,6.4013473638087675,Low Rate Bull Market
2019,COST,Costco,Consumer_Retail,152703000000.0,16465000000.0,4737000000.0,3659000000.0,,150000000.0,45400000000.0,15243000000.0,6852000000.0,23485000000.0,23237000000.0,8384000000.0,6356000000.0,2998000000.0,439625000.0,4737000000.0,True,0.10782368388309332,0.031021001552032378,0.023961546269555937,0.031021001552032378,,0.24004461064094995,0.08059471365638766,0.21439239646978955,0.4495178114544381,0.1509251101321586,1.0106726341610364,31.58,3358000000.0,0.02199039966470862,1.7370866356928123,0.019632882130671957,8.323002558999146,7.6383281205572935,Low Rate Bull Market
2020,COST,Costco,Consumer_Retail,166761000000.0,21822000000.0,5435000000.0,4002000000.0,,160000000.0,55556000000.0,18284000000.0,7657000000.0,28120000000.0,24844000000.0,12277000000.0,8861000000.0,2810000000.0,441255000.0,5435000000.0,True,0.13085793440912444,0.03259155318089961,0.023998416896036844,0.03259155318089961,,0.21887989499015534,0.07203542371661027,0.2095138969199337,0.41878144826077446,0.1378248974008208,1.1318628240218966,33.96875,6051000000.0,0.0362854624282656,2.214142928535732,0.01685046263814681,9.06958561376075,13.713159057687731,COVID Shock
2021,COST,Costco,Consumer_Retail,195929000000.0,25245000000.0,6708000000.0,5007000000.0,,171000000.0,59268000000.0,17564000000.0,7531000000.0,29505000000.0,29441000000.0,11258000000.0,8958000000.0,3588000000.0,441825000.0,6708000000.0,True,0.12884769482822858,0.034236891935343926,0.025555175599324246,0.034236891935343926,,0.28507173764518334,0.08448066410204495,0.26730424387328156,0.42877476656797997,0.12706688263481136,1.0021738392038313,39.228070175438596,5370000000.0,0.027407887551102697,1.7890952666267226,0.01831275615146303,11.332541164488202,12.154133423866915,COVID Rebound
2022,COST,Costco,Consumer_Retail,226954000000.0,27572000000.0,7793000000.0,5844000000.0,,158000000.0,64166000000.0,20642000000.0,6484000000.0,32696000000.0,31998000000.0,10203000000.0,7392000000.0,3891000000.0,442664000.0,7793000000.0,True,0.12148717361227385,0.03433735470624003,0.025749711395260715,0.03433735470624003,,0.2831121015405484,0.0910762709222953,0.2872889478728895,0.31411684914252497,0.10105040052364181,1.0218138633664604,49.322784810126585,3501000000.0,0.0154260334693374,1.264887063655031,0.01714444336737841,13.201886758353966,7.9089331863444965,Inflation & Rate Hikes
2023,COST,Costco,Consumer_Retail,242290000000.0,29704000000.0,8114000000.0,6292000000.0,,160000000.0,68994000000.0,25058000000.0,5377000000.0,35879000000.0,33583000000.0,13700000000.0,11068000000.0,4323000000.0,442793000.0,8114000000.0,True,0.12259688802674482,0.033488794419910026,0.025968880267448098,0.033488794419910026,,0.2510974539069359,0.09119633591326783,0.2666009528503368,0.2145821693670684,0.07793431312867785,1.0683679242473871,50.0,6745000000.0,0.02783854059185274,1.7590591226954864,0.017842255148788642,14.20980006459,15.232851467841632,Inflation & Rate Hikes
2024,COST,Costco,Consumer_Retail,254453000000.0,32095000000.0,9285000000.0,7367000000.0,,169000000.0,69831000000.0,23622000000.0,5794000000.0,34246000000.0,35464000000.0,9906000000.0,11339000000.0,4710000000.0,443126000.0,9285000000.0,True,0.1261333134213391,0.036490039417888566,0.028952301603832536,0.036490039417888566,,0.3118702904072475,0.1054975583909725,0.31564454718520535,0.2452798238929811,0.08297174607266114,0.965655312429506,50.0,6629000000.0,0.026051962444930892,1.5391611239310439,0.018510294632014555,16.625068265008146,14.959627735677888,Normalization
2007,TGT,Target,Consumer_Retail,,,,,,,,15633000000.0,,,,813000000.0,,,,,True,,,,,,,,,,,,,,,,,,,Pre-Crisis Buildup
2008,TGT,Target,Consumer_Retail,61471000000.0,18542000000.0,4625000000.0,2849000000.0,,647000000.0,,15307000000.0,,,,2450000000.0,4125000000.0,4369000000.0,850800000.0,4625000000.0,True,0.3016381708447886,0.07523873045826487,0.04634705796229116,0.07523873045826487,,0.18612399555758802,,0.3021493434376429,,,,7.1483771251932,-244000000.0,-0.003969351401473866,1.4478764478764479,0.07107416505343983,3.348613070051716,-0.2867889045604137,Financial Crisis
2009,TGT,Target,Consumer_Retail,62884000000.0,18727000000.0,3536000000.0,2214000000.0,,866000000.0,44106000000.0,13712000000.0,12000000000.0,17488000000.0,10512000000.0,864000000.0,4430000000.0,3547000000.0,752712464.0,3536000000.0,True,0.297802302652503,0.05623051968704281,0.03520768398956809,0.05623051968704281,,0.16146441073512252,0.05019725207454768,0.1375233354075918,0.8751458576429405,0.2720718269623181,1.6636225266362252,4.083140877598153,883000000.0,0.014041727625469118,2.000903342366757,0.05640544494625024,2.9413622145095766,1.1730907115681826,Financial Crisis
2010,TGT,Target,Consumer_Retail,63435000000.0,19373000000.0,4576000000.0,2488000000.0,,801000000.0,44533000000.0,15347000000.0,1000000000.0,18424000000.0,11327000000.0,2200000000.0,5881000000.0,1729000000.0,744644454.0,4576000000.0,True,0.30539922755576576,0.07213683297863956,0.03922125009852605,0.07213683297863956,,0.16211637453573988,0.05586868165180877,0.27992903896739463,0.0651593145240112,0.022455257898636966,1.6265560165975104,5.712858926342072,4152000000.0,0.06545282572712226,2.3637459807073955,0.027256246551588238,3.341191875713614,5.575815381014038,Post-Crisis Recovery
2011,TGT,Target,Consumer_Retail,65786000000.0,20061000000.0,5169000000.0,2920000000.0,,757000000.0,43705000000.0,15487000000.0,15241000000.0,17213000000.0,10070000000.0,1712000000.0,5271000000.0,2129000000.0,704038218.0,5169000000.0,True,0.30494330100629313,0.0785729486516888,0.04438634359894202,0.0785729486516888,,0.18854523148447086,0.06681157762269763,0.1682179120020828,0.9841157099502809,0.3487244022423064,1.7093346573982124,6.828269484808454,3142000000.0,0.04776092177666981,1.8051369863013698,0.032362508740461496,4.147502117562601,4.46282590869236,Post-Crisis Recovery
2012,TGT,Target,Consumer_Retail,68466000000.0,20606000000.0,5250000000.0,2929000000.0,,866000000.0,46630000000.0,15821000000.0,15680000000.0,16449000000.0,14287000000.0,794000000.0,5434000000.0,4368000000.0,669292929.0,5250000000.0,True,0.3009669032804604,0.07668039610901761,0.0427803581339643,0.07668039610901761,,0.18513368307945136,0.06281363928801201,0.16666137582933876,0.9910877947032425,0.3362642075916792,1.1513263806257437,6.062355658198614,1066000000.0,0.015569771857564339,1.8552406964834414,0.06379808956270265,4.376260189056921,1.5927256270176433,Post-Crisis Recovery
2013,TGT,Target,Consumer_Retail,71960000000.0,21392000000.0,5206000000.0,2999000000.0,,684000000.0,48163000000.0,16558000000.0,14648000000.0,16388000000.0,14031000000.0,784000000.0,5325000000.0,2346000000.0,645294423.0,5206000000.0,True,0.2972762645914397,0.07234574763757644,0.04167593107281823,0.07234574763757644,,0.18112090832226113,0.06226771588148579,0.16682689226430814,0.8846479043362725,0.3041338787035691,1.1679851756824176,7.611111111111111,2979000000.0,0.04139799888827126,1.7755918639546515,0.032601445247359646,4.647490963981259,4.616497359686619,Post-Crisis Recovery
