fiscal_year,ticker,company,sector,revenue,gross_profit,operating_income,net_income,rd_expense,interest_expense,total_assets,total_equity,long_term_debt,current_assets,current_liabilities,cash,operating_cashflow,capex,shares_outstanding,ebitda,ebitda_is_estimated,gross_margin,operating_margin,net_margin,ebitda_margin,rd_intensity,roe,roa,roic,debt_to_equity,debt_to_assets,current_ratio,interest_coverage,fcf,fcf_margin,cfo_to_net_income,capex_intensity,eps,fcf_per_share,macro_regime
2016,F,Ford,Automotive,151800000000.0,25605000000.0,6784000000.0,4589000000.0,7300000000.0,894000000.0,238510000000.0,29170000000.0,142970000000.0,108461000000.0,90281000000.0,15905000000.0,19850000000.0,6992000000.0,3999000000.0,6784000000.0,True,0.16867588932806324,0.04469038208168643,0.03023056653491436,0.04469038208168643,0.04808959156785244,0.15731916352416866,0.019240283426271435,0.039409782734983155,4.901268426465546,0.5994297933000713,1.2013712741329847,7.588366890380313,12858000000.0,0.08470355731225296,4.32556112442798,0.04606060606060606,1.1475368842210552,3.215303825956489,Low Rate Bull Market
2017,F,Ford,Automotive,156776000000.0,25455000000.0,4881000000.0,7731000000.0,8000000000.0,4364000000.0,258496000000.0,35578000000.0,154287000000.0,116801000000.0,94600000000.0,18492000000.0,18096000000.0,7049000000.0,3998000000.0,4881000000.0,True,0.1623654130734296,0.031133591876307598,0.049312394754299126,0.031133591876307598,0.0510282186048885,0.217297206138625,0.029907619460262443,0.0257077397097938,4.336584406093653,0.5968641681109186,1.2346828752642707,1.1184692942254812,11047000000.0,0.07046359136602541,2.3407062475746994,0.04496223911823238,1.9337168584292146,2.7631315657828917,Low Rate Bull Market
2018,F,Ford,Automotive,160338000000.0,24069000000.0,3203000000.0,3677000000.0,8200000000.0,5157000000.0,256540000000.0,35932000000.0,600000000.0,114649000000.0,95569000000.0,16718000000.0,15022000000.0,7785000000.0,3998000000.0,3203000000.0,True,0.15011413389215283,0.019976549539098654,0.022932804450598112,0.019976549539098654,0.05114196260399905,0.10233218301235668,0.014333047477976145,0.0876765575385963,0.016698207725704108,0.0023388165588212363,1.1996463288304784,0.6210975373279038,7237000000.0,0.04513590041038307,4.085395703018765,0.04855368035026007,0.9197098549274637,1.8101550775387694,Low Rate Bull Market
2019,F,Ford,Automotive,155900000000.0,21207000000.0,574000000.0,47000000.0,7400000000.0,5409000000.0,258537000000.0,33185000000.0,470000000.0,114047000000.0,98132000000.0,17504000000.0,17639000000.0,7632000000.0,4004000000.0,574000000.0,True,0.13602950609364978,0.0036818473380372035,0.00030147530468248876,0.0036818473380372035,0.04746632456703015,0.0014163025463311738,0.00018179216127672248,0.017055415242905957,0.014163025463311737,0.0018179216127672249,1.1621795133086048,0.10611943057866519,10007000000.0,0.06418858242463117,10.0,0.04895445798588839,0.011738261738261738,2.4992507492507494,Low Rate Bull Market
2020,F,Ford,Automotive,127144000000.0,14392000000.0,-4408000000.0,-1279000000.0,7100000000.0,5051000000.0,267261000000.0,30690000000.0,291000000.0,116744000000.0,97192000000.0,25243000000.0,24269000000.0,5742000000.0,3973000000.0,-4408000000.0,True,0.11319448813943246,-0.03466935128673001,-0.010059460139684138,-0.03466935128673001,0.05584219467690178,-0.04167481264255458,-0.0047855841293716625,-0.14228075271940868,0.009481915933528836,0.001088823285103326,1.2011688204790518,-0.8726984755493962,18527000000.0,0.1457166677153464,-10.0,0.045161391807714085,-0.3219229801157815,4.663226780770199,COVID Shock
2021,F,Ford,Automotive,136341000000.0,21690000000.0,4523000000.0,17937000000.0,7600000000.0,4593000000.0,257035000000.0,48519000000.0,,108996000000.0,90727000000.0,20540000000.0,15787000000.0,6227000000.0,4034000000.0,4523000000.0,True,0.15908640834378507,0.03317417357948086,0.13155983893326292,0.03317417357948086,0.055742586602709386,0.36969022444815436,0.06978427062462311,0.09322121230858015,,,1.2013623287444752,0.9847594165033747,9560000000.0,0.07011830630551338,0.8801360316663879,0.045672248259877805,4.446455131383242,2.3698562221120474,COVID Rebound
2022,F,Ford,Automotive,158057000000.0,23660000000.0,6276000000.0,-1981000000.0,7800000000.0,4593000000.0,255884000000.0,43242000000.0,,116476000000.0,96866000000.0,25134000000.0,6853000000.0,6866000000.0,4014000000.0,6276000000.0,True,0.1496928323326395,0.03970719424005264,-0.0125334531213423,0.03970719424005264,0.04934928538438665,-0.04581194209333518,-0.007741789248253115,0.14513667267933952,,,1.2024446142093201,1.3664271717831482,-13000000.0,-8.224880897397775e-05,-3.4593639575971733,0.04344002480117932,-0.4935226706527155,-0.0032386646736422523,Inflation & Rate Hikes
2023,F,Ford,Automotive,176191000000.0,25641000000.0,5458000000.0,4347000000.0,8200000000.0,7613000000.0,273310000000.0,42773000000.0,,121481000000.0,101531000000.0,24862000000.0,14918000000.0,8236000000.0,4041000000.0,5458000000.0,True,0.14552956734452951,0.030977745741836985,0.024672088812708937,0.030977745741836985,0.046540402177182714,0.10162953264910107,0.01590501628187772,0.12760386224954995,,,1.1964917118909495,0.7169315644292658,6682000000.0,0.03792475211560182,3.4317920404876925,0.046744725894058155,1.0757238307349666,1.6535511012125712,Inflation & Rate Hikes
2024,F,Ford,Automotive,184992000000.0,26558000000.0,5219000000.0,5879000000.0,8000000000.0,1115000000.0,285196000000.0,44835000000.0,711000000.0,124474000000.0,106859000000.0,22935000000.0,15423000000.0,8684000000.0,4021000000.0,5219000000.0,True,0.143562964884968,0.028212030790520672,0.03177975263795191,0.028212030790520672,0.04324511330219685,0.13112523698003792,0.020613893602995835,0.11458745005049839,0.015858146537303445,0.0024930223425293483,1.1648433917592342,4.680717488789238,6739000000.0,0.036428602317938076,2.6234053410443954,0.04694257048953468,1.4620741109176822,1.6759512559064909,Normalization
2009,GM,General Motors,Automotive,47115000000.0,-8699000000.0,-16095000000.0,,3017000000.0,,,21957000000.0,,,,22679000000.0,,,,-16095000000.0,True,-0.18463334394566486,-0.34161095192613816,,-0.34161095192613816,0.0640348084474159,,,-0.7330236371088946,,,,,,,,,,,Financial Crisis
2010,GM,General Motors,Automotive,135311000000.0,3923000000.0,5108000000.0,6172000000.0,6962000000.0,1135000000.0,138898000000.0,36180000000.0,,,,21256000000.0,6780000000.0,4202000000.0,1500136998.0,5108000000.0,True,0.028992469200582363,0.037750072056226026,0.04561343867091367,0.037750072056226026,0.05145184057467612,0.17059148700939747,0.044435485032181886,0.14118297401879493,,,,4.500440528634361,2578000000.0,0.019052405199872887,1.0985093972780298,0.03105438582229087,4.114290900250165,1.7185097117376742,Post-Crisis Recovery
2011,GM,General Motors,Automotive,148866000000.0,4214000000.0,5656000000.0,9190000000.0,8100000000.0,744000000.0,144603000000.0,38120000000.0,,64923000000.0,53226000000.0,16071000000.0,8166000000.0,6249000000.0,1564727289.0,5656000000.0,True,0.02830733679953784,0.03799390055486142,0.06173337095105665,0.03799390055486142,0.05441134980452219,0.24108079748163694,0.06355331493814098,0.1483735571878279,,,1.21976101905084,7.602150537634409,1917000000.0,0.012877352787070251,0.8885745375408052,0.0419773487565999,5.873227919398803,1.2251336149605556,Post-Crisis Recovery
2012,GM,General Motors,Automotive,150295000000.0,4418000000.0,-30363000000.0,6188000000.0,7400000000.0,772000000.0,149422000000.0,36244000000.0,,69996000000.0,53992000000.0,18422000000.0,10605000000.0,8068000000.0,1366373526.0,-30363000000.0,True,0.029395522139791744,-0.20202268871219933,0.0411723610233208,-0.20202268871219933,0.04923650154695765,0.17073170731707318,0.04141291108404385,-0.8377386601920318,,,1.29641428359757,-39.33031088082902,2537000000.0,0.01688013573305832,1.7138009049773755,0.0536810938487641,4.528776269630388,1.8567397214047017,Post-Crisis Recovery
2013,GM,General Motors,Automotive,152092000000.0,17167000000.0,5131000000.0,5346000000.0,7200000000.0,1049000000.0,166231000000.0,42607000000.0,,81501000000.0,62412000000.0,20021000000.0,12630000000.0,7565000000.0,1500000000.0,5131000000.0,True,0.11287247192488757,0.033736159692817506,0.03514977776608895,0.033736159692817506,0.04733976803513663,0.1254723402257845,0.032160066413605165,0.1204262210434905,,,1.3058546433378198,4.891325071496664,5065000000.0,0.033302211819162084,2.3625140291806956,0.04973963127580675,3.564,3.3766666666666665,Post-Crisis Recovery
2014,GM,General Motors,Automotive,151092000000.0,13010000000.0,1530000000.0,3949000000.0,,1829000000.0,177311000000.0,35457000000.0,,83626000000.0,65657000000.0,18954000000.0,10061000000.0,7091000000.0,1600000000.0,1530000000.0,True,0.08610647817223943,0.010126280676673814,0.026136393720382282,0.010126280676673814,,0.11137434075076853,0.022271601874672187,0.04315085878669938,,,1.2736798818100126,0.8365226899945325,2970000000.0,0.019656897784131523,2.54773360344391,0.04693167077012681,2.468125,1.85625,Low Rate Bull Market
2015,GM,General Motors,Automotive,129864000000.0,16869000000.0,5538000000.0,9687000000.0,,1883000000.0,194338000000.0,39871000000.0,,69408000000.0,71217000000.0,15238000000.0,11769000000.0,6813000000.0,1500000000.0,5538000000.0,True,0.1298974311587507,0.042644612825725375,0.07459342080946221,0.042644612825725375,,0.24295854129567857,0.04984614434644794,0.13889794587544832,,,0.9745987615316568,2.9410515135422197,4956000000.0,0.03816300129366106,1.2149272220501703,0.05246257623359823,6.458,3.304,Low Rate Bull Market
2016,GM,General Motors,Automotive,140205000000.0,18421000000.0,8686000000.0,9427000000.0,,2535000000.0,221690000000.0,43836000000.0,,76203000000.0,85181000000.0,12574000000.0,16607000000.0,8384000000.0,1500000000.0,8686000000.0,True,0.13138618451553083,0.06195214150707892,0.06723725972682858,0.06195214150707892,,0.21505155579888677,0.04252334340746087,0.19814764120813944,,,0.8946009086533382,3.426429980276134,8223000000.0,0.05864983417139189,1.7616420918637954,0.05979815270496772,6.284666666666666,5.482,Low Rate Bull Market
2017,GM,General Motors,Automotive,133449000000.0,17220000000.0,8661000000.0,-3864000000.0,,3141000000.0,212482000000.0,35001000000.0,,68744000000.0,76890000000.0,15512000000.0,17328000000.0,8453000000.0,1400000000.0,8661000000.0,True,0.12903805948339817,0.06490119821055235,-0.028954881640177146,0.06490119821055235,,-0.11039684580440559,-0.01818506979414727,0.2474500728550613,,,0.8940564442710366,2.757402101241643,8875000000.0,0.06650480707985822,-4.484472049689441,0.06334255033758215,-2.76,6.339285714285714,Low Rate Bull Market
2018,GM,General Motors,Automotive,133045000000.0,12389000000.0,4445000000.0,8014000000.0,,3880000000.0,227339000000.0,38860000000.0,,75293000000.0,82237000000.0,20844000000.0,15256000000.0,8761000000.0,1400000000.0,4445000000.0,True,0.09311886955541358,0.033409748581307075,0.06023525874704048,0.033409748581307075,,0.20622748327328874,0.03525132071487954,0.11438497169325784,,,0.9155611221226455,1.1456185567010309,6495000000.0,0.04881806907437333,1.9036685799850261,0.06584990040963584,5.724285714285714,4.639285714285714,Low Rate Bull Market
2019,GM,General Motors,Automotive,122697000000.0,12046000000.0,5481000000.0,6732000000.0,,4423000000.0,228037000000.0,41792000000.0,,74992000000.0,84905000000.0,19069000000.0,15021000000.0,7592000000.0,1400000000.0,5481000000.0,True,0.09817680953894553,0.044671018851316656,0.054866867160566275,0.044671018851316656,,0.16108346094946402,0.02952152501567728,0.13114950229709035,,,0.883245980802073,1.2392041600723491,7429000000.0,0.060547527649412784,2.231283422459893,0.06187600348826785,4.808571428571429,5.3064285714285715,Low Rate Bull Market
2020,GM,General Motors,Automotive,108673000000.0,11134000000.0,6634000000.0,6427000000.0,,4121000000.0,235194000000.0,45030000000.0,,80924000000.0,79910000000.0,19992000000.0,16670000000.0,5300000000.0,1400000000.0,6634000000.0,True,0.10245415144516117,0.0610455218867612,0.059140724927074804,0.0610455218867612,,0.1427270708416611,0.027326377373572457,0.14732400621807684,,,1.0126892754348642,1.609803445765591,11370000000.0,0.10462580401755726,2.593745137700327,0.048770163702115524,4.590714285714285,8.121428571428572,COVID Shock
2021,GM,General Motors,Automotive,113590000000.0,13046000000.0,9324000000.0,10019000000.0,,3403000000.0,244718000000.0,59744000000.0,,82103000000.0,74408000000.0,20067000000.0,15188000000.0,7509000000.0,1500000000.0,9324000000.0,True,0.11485165947706664,0.08208469055374593,0.0882031869002553,0.08208469055374593,,0.16769884841992502,0.04094100147925367,0.15606588109266203,,,1.1034162993226535,2.7399353511607405,7679000000.0,0.0676027819350295,1.5159197524703065,0.0661061713178977,6.679333333333333,5.1193333333333335,COVID Rebound
2022,GM,General Motors,Automotive,143975000000.0,,10315000000.0,9934000000.0,,3606000000.0,264037000000.0,67792000000.0,,100451000000.0,91173000000.0,19153000000.0,16043000000.0,9238000000.0,1400000000.0,10315000000.0,True,,0.07164438270533079,0.06899808994617121,0.07164438270533079,,0.1465364644795846,0.03762351488617126,0.1521565966485721,,,1.1017625832209097,2.86051026067665,6805000000.0,0.047265150199687446,1.6149587276021744,0.06416391734676159,7.095714285714286,4.860714285714286,Inflation & Rate Hikes
2023,GM,General Motors,Automotive,157658000000.0,,9298000000.0,10127000000.0,,5515000000.0,273064000000.0,64286000000.0,,101618000000.0,94445000000.0,18853000000.0,20930000000.0,10970000000.0,1200000000.0,9298000000.0,True,,0.05897575765264053,0.06423397480622614,0.05897575765264053,,0.15753041097595122,0.03708654381390443,0.14463491273372117,,,1.0759489650060883,1.685947416137806,9960000000.0,0.06317471996346523,2.066752246469833,0.0695809917669893,8.439166666666667,8.3,Inflation & Rate Hikes
2024,GM,General Motors,Automotive,171606000000.0,,12784000000.0,6008000000.0,,6183000000.0,279761000000.0,63072000000.0,,108545000000.0,96265000000.0,19872000000.0,20129000000.0,10830000000.0,995000000.0,12784000000.0,True,,0.07449622973555703,0.035010430870715474,0.07449622973555703,,0.09525621511922881,0.02147547370791497,0.20268899036022323,,,1.127564535397081,2.0676047226265566,9299000000.0,0.054188082001794806,3.3503661784287617,0.06310968147966854,6.038190954773869,9.34572864321608,Normalization
2008,TSLA,Tesla,Automotive,,,,,,,,-199714000.0,,,,9277000.0,,,,,True,,,,,,,,,,,,,,,,,,,Financial Crisis
2009,TSLA,Tesla,Automotive,111943000.0,9535000.0,-51897000.0,-55740000.0,19282000.0,2531000.0,,-253523000.0,,,,69627000.0,-80825000.0,11884000.0,,-51897000.0,True,0.08517727772169766,-0.4636020117381167,-0.4979319832414711,-0.4636020117381167,0.17224837640584942,0.2198617087995961,,0.20470332080324072,,,,-20.50454365863295,-92709000.0,-0.828180413246027,1.4500358808754934,0.10616117131039904,,,Financial Crisis
2010,TSLA,Tesla,Automotive,97078000.0,30731000.0,-146838000.0,-154328000.0,92996000.0,992000.0,386082000.0,207048000.0,71828000.0,235886000.0,85565000.0,99558000.0,-127817000.0,40203000.0,94908370.0,-146838000.0,True,0.3165598796843775,-1.512577514987948,-1.5897319681081192,-1.512577514987948,0.9579513380992604,-0.7453730535914377,-0.3997285550737926,-0.5265350908647571,0.34691472508790233,0.18604337938572635,2.7568047683047974,-50.0,-168020000.0,-1.730773192690414,0.8282165258410658,0.4141309050454274,-1.6260736539885787,-1.7703391176141787,Post-Crisis Recovery
2011,TSLA,Tesla,Automotive,148568000.0,61595000.0,-251488000.0,-254411000.0,208981000.0,43000.0,713448000.0,224045000.0,268335000.0,372838000.0,191339000.0,255266000.0,-128034000.0,184226000.0,104530305.0,-251488000.0,True,0.4145912982607291,-1.6927467556943623,-1.7124212481826504,-1.6927467556943623,1.4066353454310485,-1.135535271931978,-0.35659361298931386,-0.510759982127625,1.1976835010823719,0.37611010192754063,1.948572951672163,-50.0,-312260000.0,-2.101798503042378,0.5032565415803562,1.2400113079532604,-2.4338492076532257,-2.9872676636694018,Post-Crisis Recovery
2012,TSLA,Tesla,Automotive,385699000.0,30067000.0,-394283000.0,-396213000.0,273978000.0,254000.0,1114190000.0,124700000.0,452336000.0,524768000.0,539108000.0,201890000.0,-266081000.0,239228000.0,114214274.0,-394283000.0,True,0.07795457079224992,-1.0222556967998362,-1.0272595988063231,-1.0222556967998362,0.710341483903251,-3.1773295910184443,-0.3556063149014082,-0.6832901240130599,3.627393744987971,0.4059774365233937,0.973400506021057,-50.0,-505309000.0,-1.3101122896351818,0.6715604990245146,0.6202453208330848,-3.4690322507325133,-4.424219340570339,Post-Crisis Recovery
2013,TSLA,Tesla,Automotive,1921877000.0,456262000.0,-61283000.0,-74014000.0,231976000.0,32934000.0,2416930000.0,667120000.0,0.0,1265939000.0,675160000.0,845889000.0,257994000.0,264224000.0,123090990.0,-61283000.0,True,0.23740437083122384,-0.031887056247616265,-0.038511309516686035,-0.031887056247616265,0.1207028337401405,-0.11094555702122556,-0.030623145891689043,-0.09186203381700443,0.0,0.0,1.8750207358255822,-1.860782170401409,-6230000.0,-0.0032416226428642414,-3.4857459399573054,0.13748226343309172,-0.6012950257366522,-0.05061296525440245,Post-Crisis Recovery
2014,TSLA,Tesla,Automotive,2874448000.0,881671000.0,-186689000.0,-294040000.0,464700000.0,100886000.0,5830667000.0,911710000.0,2959795000.0,3180073000.0,2107166000.0,1905713000.0,-57337000.0,969885000.0,125688000.0,-186689000.0,True,0.3067270655096213,-0.06494777432049562,-0.10229442313793814,-0.06494777432049562,0.1616658224466054,-0.3225148347610534,-0.050429907933346216,-0.04822129895221626,3.2464215594871177,0.5076254569159926,1.5091706111431182,-1.8504946176872905,-1027222000.0,-0.3573632224343596,0.19499727928173038,0.33741608823676755,-2.339443701864935,-8.172792947616319,Low Rate Bull Market
